Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
100000,2026-01-01,2026-01-01,Debit,-11.13,,REF100000,Walmart,Groceries,Expense,4988.87,,Walmart transaction
100001,2026-01-02,2026-01-02,Debit,-65.0,,REF100001,Spotify,Entertainment,Expense,4923.87,,Spotify transaction
100002,2026-01-03,2026-01-03,Debit,-185.44,,REF100002,Smith's,Groceries,Expense,4738.43,,Smith's transaction
100003,2026-01-04,2026-01-04,Credit,1313.02,,REF100003,Payroll,Income,Income,6051.45,,Payroll transaction
100004,2026-01-05,2026-01-05,Debit,-12.79,,REF100004,Amazon,Shopping,Expense,6038.66,,Amazon transaction
100005,2026-01-06,2026-01-06,Debit,-58.57,,REF100005,Walmart,Groceries,Expense,5980.09,,Walmart transaction
100006,2026-01-07,2026-01-07,Credit,1982.62,,REF100006,Payroll,Income,Income,7962.71,,Payroll transaction
100007,2026-01-08,2026-01-08,Credit,1458.49,,REF100007,Payroll,Income,Income,9421.2,,Payroll transaction
100008,2026-01-09,2026-01-09,Credit,1745.38,,REF100008,Payroll,Income,Income,11166.58,,Payroll transaction
100009,2026-01-10,2026-01-10,Debit,-149.37,,REF100009,Target,Shopping,Expense,11017.21,,Target transaction
100010,2026-01-11,2026-01-11,Debit,-190.91,,REF100010,Starbucks,Coffee,Expense,10826.3,,Starbucks transaction
100011,2026-01-12,2026-01-12,Debit,-176.04,,REF100011,Smith's,Groceries,Expense,10650.26,,Smith's transaction
100012,2026-01-13,2026-01-13,Debit,-73.08,,REF100012,Netflix,Entertainment,Expense,10577.18,,Netflix transaction
100013,2026-01-14,2026-01-14,Debit,-239.52,,REF100013,Chevron,Gas,Expense,10337.66,,Chevron transaction
100014,2026-01-15,2026-01-15,Debit,-30.04,,REF100014,Netflix,Entertainment,Expense,10307.62,,Netflix transaction
100015,2026-01-16,2026-01-16,Debit,-28.7,,REF100015,Amazon,Shopping,Expense,10278.92,,Amazon transaction
100016,2026-01-17,2026-01-17,Debit,-152.91,,REF100016,Netflix,Entertainment,Expense,10126.01,,Netflix transaction
100017,2026-01-18,2026-01-18,Debit,-183.78,,REF100017,Starbucks,Coffee,Expense,9942.23,,Starbucks transaction
100018,2026-01-19,2026-01-19,Credit,1362.27,,REF100018,Payroll,Income,Income,11304.5,,Payroll transaction
100019,2026-01-20,2026-01-20,Debit,-24.31,,REF100019,Amazon,Shopping,Expense,11280.19,,Amazon transaction
100020,2026-01-21,2026-01-21,Debit,-208.2,,REF100020,Spotify,Entertainment,Expense,11071.99,,Spotify transaction
100021,2026-01-22,2026-01-22,Debit,-221.94,,REF100021,Rent Payment,Housing,Expense,10850.05,,Rent Payment transaction
100022,2026-01-23,2026-01-23,Debit,-146.45,,REF100022,Netflix,Entertainment,Expense,10703.6,,Netflix transaction
100023,2026-01-24,2026-01-24,Debit,-16.23,,REF100023,Walmart,Groceries,Expense,10687.37,,Walmart transaction
100024,2026-01-25,2026-01-25,Debit,-194.4,,REF100024,Chevron,Gas,Expense,10492.97,,Chevron transaction
100025,2026-01-26,2026-01-26,Debit,-214.55,,REF100025,Walmart,Groceries,Expense,10278.42,,Walmart transaction
100026,2026-01-27,2026-01-27,Debit,-98.13,,REF100026,Walmart,Groceries,Expense,10180.29,,Walmart transaction
100027,2026-01-28,2026-01-28,Debit,-160.74,,REF100027,Target,Shopping,Expense,10019.55,,Target transaction
100028,2026-01-29,2026-01-29,Debit,-44.85,,REF100028,Netflix,Entertainment,Expense,9974.7,,Netflix transaction
100029,2026-01-30,2026-01-30,Debit,-56.33,,REF100029,Netflix,Entertainment,Expense,9918.37,,Netflix transaction
100030,2026-01-31,2026-01-31,Debit,-176.95,,REF100030,Spotify,Entertainment,Expense,9741.42,,Spotify transaction
100031,2026-02-01,2026-02-01,Debit,-154.24,,REF100031,Walmart,Groceries,Expense,9587.18,,Walmart transaction
100032,2026-02-02,2026-02-02,Debit,-135.86,,REF100032,Smith's,Groceries,Expense,9451.32,,Smith's transaction
100033,2026-02-03,2026-02-03,Debit,-45.03,,REF100033,Chevron,Gas,Expense,9406.29,,Chevron transaction
100034,2026-02-04,2026-02-04,Debit,-71.14,,REF100034,Amazon,Shopping,Expense,9335.15,,Amazon transaction
100035,2026-02-05,2026-02-05,Credit,1485.5,,REF100035,Payroll,Income,Income,10820.65,,Payroll transaction
100036,2026-02-06,2026-02-06,Debit,-211.5,,REF100036,Netflix,Entertainment,Expense,10609.15,,Netflix transaction
100037,2026-02-07,2026-02-07,Debit,-61.12,,REF100037,Starbucks,Coffee,Expense,10548.03,,Starbucks transaction
100038,2026-02-08,2026-02-08,Debit,-202.24,,REF100038,Starbucks,Coffee,Expense,10345.79,,Starbucks transaction
100039,2026-02-09,2026-02-09,Debit,-70.6,,REF100039,Amazon,Shopping,Expense,10275.19,,Amazon transaction
100040,2026-02-10,2026-02-10,Debit,-228.72,,REF100040,Chevron,Gas,Expense,10046.47,,Chevron transaction
100041,2026-02-11,2026-02-11,Debit,-219.71,,REF100041,Rent Payment,Housing,Expense,9826.76,,Rent Payment transaction
100042,2026-02-12,2026-02-12,Debit,-57.09,,REF100042,Netflix,Entertainment,Expense,9769.67,,Netflix transaction
100043,2026-02-13,2026-02-13,Debit,-101.93,,REF100043,Target,Shopping,Expense,9667.74,,Target transaction
100044,2026-02-14,2026-02-14,Debit,-40.0,,REF100044,Target,Shopping,Expense,9627.74,,Target transaction
100045,2026-02-15,2026-02-15,Debit,-65.42,,REF100045,Smith's,Groceries,Expense,9562.32,,Smith's transaction
100046,2026-02-16,2026-02-16,Credit,1900.67,,REF100046,Payroll,Income,Income,11462.99,,Payroll transaction
100047,2026-02-17,2026-02-17,Debit,-109.97,,REF100047,Rent Payment,Housing,Expense,11353.02,,Rent Payment transaction
100048,2026-02-18,2026-02-18,Debit,-102.85,,REF100048,Rent Payment,Housing,Expense,11250.17,,Rent Payment transaction
100049,2026-02-19,2026-02-19,Debit,-249.34,,REF100049,Chevron,Gas,Expense,11000.83,,Chevron transaction
100050,2026-02-20,2026-02-20,Debit,-129.83,,REF100050,Smith's,Groceries,Expense,10871.0,,Smith's transaction
100051,2026-02-21,2026-02-21,Debit,-190.17,,REF100051,Walmart,Groceries,Expense,10680.83,,Walmart transaction
100052,2026-02-22,2026-02-22,Debit,-42.45,,REF100052,Walmart,Groceries,Expense,10638.38,,Walmart transaction
100053,2026-02-23,2026-02-23,Debit,-199.06,,REF100053,Smith's,Groceries,Expense,10439.32,,Smith's transaction
100054,2026-02-24,2026-02-24,Debit,-151.12,,REF100054,Amazon,Shopping,Expense,10288.2,,Amazon transaction
100055,2026-02-25,2026-02-25,Debit,-98.5,,REF100055,Amazon,Shopping,Expense,10189.7,,Amazon transaction
100056,2026-02-26,2026-02-26,Debit,-134.63,,REF100056,Target,Shopping,Expense,10055.07,,Target transaction
100057,2026-02-27,2026-02-27,Credit,2319.01,,REF100057,Payroll,Income,Income,12374.08,,Payroll transaction
100058,2026-02-28,2026-02-28,Debit,-171.67,,REF100058,Starbucks,Coffee,Expense,12202.41,,Starbucks transaction
100059,2026-03-01,2026-03-01,Debit,-172.02,,REF100059,Walmart,Groceries,Expense,12030.39,,Walmart transaction
100060,2026-03-02,2026-03-02,Credit,2176.14,,REF100060,Payroll,Income,Income,14206.53,,Payroll transaction
100061,2026-03-03,2026-03-03,Debit,-32.33,,REF100061,Netflix,Entertainment,Expense,14174.2,,Netflix transaction
100062,2026-03-04,2026-03-04,Debit,-43.75,,REF100062,Amazon,Shopping,Expense,14130.45,,Amazon transaction
100063,2026-03-05,2026-03-05,Debit,-238.68,,REF100063,Starbucks,Coffee,Expense,13891.77,,Starbucks transaction
100064,2026-03-06,2026-03-06,Debit,-243.11,,REF100064,Spotify,Entertainment,Expense,13648.66,,Spotify transaction
100065,2026-03-07,2026-03-07,Debit,-129.38,,REF100065,Smith's,Groceries,Expense,13519.28,,Smith's transaction
100066,2026-03-08,2026-03-08,Debit,-218.28,,REF100066,Walmart,Groceries,Expense,13301.0,,Walmart transaction
100067,2026-03-09,2026-03-09,Debit,-211.21,,REF100067,Spotify,Entertainment,Expense,13089.79,,Spotify transaction
100068,2026-03-10,2026-03-10,Credit,1991.66,,REF100068,Payroll,Income,Income,15081.45,,Payroll transaction
100069,2026-03-11,2026-03-11,Debit,-96.61,,REF100069,Smith's,Groceries,Expense,14984.84,,Smith's transaction
100070,2026-03-12,2026-03-12,Debit,-137.15,,REF100070,Smith's,Groceries,Expense,14847.69,,Smith's transaction
100071,2026-03-13,2026-03-13,Credit,2394.04,,REF100071,Payroll,Income,Income,17241.73,,Payroll transaction
100072,2026-03-14,2026-03-14,Debit,-84.42,,REF100072,Rent Payment,Housing,Expense,17157.31,,Rent Payment transaction
100073,2026-03-15,2026-03-15,Debit,-32.41,,REF100073,Starbucks,Coffee,Expense,17124.9,,Starbucks transaction
100074,2026-03-16,2026-03-16,Debit,-220.29,,REF100074,Netflix,Entertainment,Expense,16904.61,,Netflix transaction
100075,2026-03-17,2026-03-17,Debit,-63.67,,REF100075,Spotify,Entertainment,Expense,16840.94,,Spotify transaction
100076,2026-03-18,2026-03-18,Debit,-220.11,,REF100076,Chevron,Gas,Expense,16620.83,,Chevron transaction
100077,2026-03-19,2026-03-19,Debit,-25.99,,REF100077,Walmart,Groceries,Expense,16594.84,,Walmart transaction
100078,2026-03-20,2026-03-20,Debit,-204.93,,REF100078,Target,Shopping,Expense,16389.91,,Target transaction
100079,2026-03-21,2026-03-21,Credit,2195.58,,REF100079,Payroll,Income,Income,18585.49,,Payroll transaction
100080,2026-03-22,2026-03-22,Debit,-166.64,,REF100080,Smith's,Groceries,Expense,18418.85,,Smith's transaction
100081,2026-03-23,2026-03-23,Credit,1414.67,,REF100081,Payroll,Income,Income,19833.52,,Payroll transaction
100082,2026-03-24,2026-03-24,Credit,2334.16,,REF100082,Payroll,Income,Income,22167.68,,Payroll transaction
100083,2026-03-25,2026-03-25,Debit,-241.27,,REF100083,Amazon,Shopping,Expense,21926.41,,Amazon transaction
100084,2026-03-26,2026-03-26,Credit,2181.84,,REF100084,Payroll,Income,Income,24108.25,,Payroll transaction
100085,2026-03-27,2026-03-27,Debit,-179.67,,REF100085,Chevron,Gas,Expense,23928.58,,Chevron transaction
100086,2026-03-28,2026-03-28,Debit,-248.81,,REF100086,Amazon,Shopping,Expense,23679.77,,Amazon transaction
100087,2026-03-29,2026-03-29,Debit,-112.33,,REF100087,Netflix,Entertainment,Expense,23567.44,,Netflix transaction
100088,2026-03-30,2026-03-30,Credit,1786.93,,REF100088,Payroll,Income,Income,25354.37,,Payroll transaction
100089,2026-03-31,2026-03-31,Debit,-60.05,,REF100089,Chevron,Gas,Expense,25294.32,,Chevron transaction
100090,2026-04-01,2026-04-01,Debit,-10.15,,REF100090,Netflix,Entertainment,Expense,25284.17,,Netflix transaction
100091,2026-04-02,2026-04-02,Credit,1499.15,,REF100091,Payroll,Income,Income,26783.32,,Payroll transaction
100092,2026-04-03,2026-04-03,Debit,-6.76,,REF100092,Chevron,Gas,Expense,26776.56,,Chevron transaction
100093,2026-04-04,2026-04-04,Debit,-61.09,,REF100093,Starbucks,Coffee,Expense,26715.47,,Starbucks transaction
100094,2026-04-05,2026-04-05,Debit,-215.61,,REF100094,Starbucks,Coffee,Expense,26499.86,,Starbucks transaction
100095,2026-04-06,2026-04-06,Debit,-130.97,,REF100095,Walmart,Groceries,Expense,26368.89,,Walmart transaction
100096,2026-04-07,2026-04-07,Debit,-168.9,,REF100096,Spotify,Entertainment,Expense,26199.99,,Spotify transaction
100097,2026-04-08,2026-04-08,Debit,-137.11,,REF100097,Chevron,Gas,Expense,26062.88,,Chevron transaction
100098,2026-04-09,2026-04-09,Debit,-146.17,,REF100098,Rent Payment,Housing,Expense,25916.71,,Rent Payment transaction
100099,2026-04-10,2026-04-10,Debit,-197.23,,REF100099,Chevron,Gas,Expense,25719.48,,Chevron transaction
100100,2026-04-11,2026-04-11,Debit,-51.65,,REF100100,Amazon,Shopping,Expense,25667.83,,Amazon transaction
100101,2026-04-12,2026-04-12,Debit,-166.45,,REF100101,Walmart,Groceries,Expense,25501.38,,Walmart transaction
100102,2026-04-13,2026-04-13,Debit,-108.78,,REF100102,Netflix,Entertainment,Expense,25392.6,,Netflix transaction
100103,2026-04-14,2026-04-14,Debit,-216.64,,REF100103,Target,Shopping,Expense,25175.96,,Target transaction
